epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,944.785,1.83571,1.94879,1.49596,0.22962,0.21575,0.13533,0.06405,2.17706,2.6903,1.84459,0.000990365,0.000990365,0.000990365
43,966.328,1.83017,1.90936,1.48085,0.24848,0.19472,0.13189,0.06048,2.21952,2.88574,1.87519,0.000973861,0.000973861,0.000973861
44,988.359,1.83288,1.93216,1.48757,0.20771,0.22018,0.12668,0.0554,2.17934,2.80654,1.84315,0.000957358,0.000957358,0.000957358
45,1010.24,1.76364,1.90983,1.45947,0.20518,0.20544,0.10552,0.04722,2.16975,2.88269,1.83104,0.000940855,0.000940855,0.000940855
46,1032.27,1.79156,1.88019,1.46523,0.22071,0.23412,0.13386,0.06209,2.1626,2.70673,1.82535,0.000924352,0.000924352,0.000924352
47,1054.48,1.76326,1.8504,1.45376,0.19901,0.23473,0.12551,0.05595,2.18604,2.74379,1.82479,0.000907848,0.000907848,0.000907848
48,1076.88,1.7766,1.83801,1.46333,0.2188,0.20189,0.13484,0.05887,2.20419,2.76438,1.86577,0.000891345,0.000891345,0.000891345
49,1098.98,1.77226,1.84158,1.44068,0.20476,0.21803,0.13124,0.0568,2.22998,2.79292,1.87875,0.000874842,0.000874842,0.000874842
50,1121.23,1.74304,1.81707,1.45643,0.24901,0.19463,0.12981,0.05839,2.22964,2.76312,1.87425,0.000858338,0.000858338,0.000858338
51,1143.44,1.74041,1.79789,1.44089,0.18697,0.21513,0.12763,0.05605,2.19328,2.82541,1.84222,0.000841835,0.000841835,0.000841835
52,1165.78,1.71718,1.75868,1.42651,0.20131,0.22369,0.12212,0.055,2.21229,2.86939,1.86424,0.000825332,0.000825332,0.000825332
53,1188.98,1.73489,1.77658,1.43323,0.20021,0.21873,0.12283,0.05408,2.21833,2.81669,1.82882,0.000808828,0.000808828,0.000808828
54,1211.01,1.7589,1.74331,1.42768,0.19843,0.21194,0.12312,0.0563,2.22553,2.86655,1.89323,0.000792325,0.000792325,0.000792325
55,1232.98,1.73523,1.774,1.43051,0.20999,0.23548,0.13746,0.0625,2.21123,2.73432,1.86522,0.000775822,0.000775822,0.000775822
56,1255.03,1.71626,1.71306,1.42058,0.20297,0.19436,0.1153,0.04854,2.23064,2.87728,1.92524,0.000759318,0.000759318,0.000759318
57,1276.71,1.74102,1.73776,1.43797,0.24065,0.18579,0.11332,0.04923,2.20602,2.87014,1.88159,0.000742815,0.000742815,0.000742815
58,1298.91,1.72578,1.71524,1.42717,0.23762,0.18234,0.1263,0.05555,2.23946,2.87422,1.90749,0.000726312,0.000726312,0.000726312
59,1320.88,1.69641,1.68568,1.41677,0.25062,0.18552,0.12178,0.05406,2.22585,2.88107,1.8838,0.000709809,0.000709809,0.000709809
60,1342.5,1.72978,1.67616,1.41233,0.2017,0.18764,0.11568,0.04878,2.22494,2.84088,1.89217,0.000693305,0.000693305,0.000693305
61,1364.51,1.69117,1.6518,1.41024,0.23512,0.1892,0.1171,0.0521,2.23863,2.92978,1.89588,0.000676802,0.000676802,0.000676802
62,1386.26,1.6579,1.62022,1.3813,0.22582,0.20216,0.12642,0.05439,2.2669,2.90294,1.92975,0.000660299,0.000660299,0.000660299
63,1408.04,1.68372,1.62075,1.3896,0.21668,0.19001,0.1087,0.04663,2.26271,2.9214,1.91762,0.000643795,0.000643795,0.000643795
64,1429.92,1.65639,1.59043,1.38218,0.25663,0.19196,0.11625,0.05048,2.25653,2.86773,1.90779,0.000627292,0.000627292,0.000627292
65,1452.31,1.65463,1.57403,1.37102,0.20275,0.21652,0.11575,0.05153,2.26983,2.93291,1.91909,0.000610789,0.000610789,0.000610789
66,1474.26,1.64738,1.56798,1.37855,0.24267,0.19485,0.12468,0.05264,2.26664,2.97568,1.93494,0.000594286,0.000594286,0.000594286
67,1496.53,1.65767,1.57744,1.37582,0.21977,0.22004,0.11326,0.04968,2.26278,2.91571,1.90654,0.000577782,0.000577782,0.000577782
68,1518.38,1.64371,1.54062,1.36116,0.22407,0.19117,0.11872,0.05502,2.27519,2.87614,1.91882,0.000561279,0.000561279,0.000561279
69,1540.84,1.65379,1.53833,1.3671,0.24836,0.18166,0.11009,0.04757,2.29715,2.94653,1.9546,0.000544776,0.000544776,0.000544776
70,1562.82,1.62881,1.50787,1.35413,0.21122,0.20194,0.11333,0.04797,2.27835,2.94283,1.93605,0.000528272,0.000528272,0.000528272
71,1584.89,1.58798,1.49025,1.33981,0.22995,0.19367,0.12027,0.05103,2.27426,2.98028,1.92701,0.000511769,0.000511769,0.000511769
72,1606.84,1.60097,1.48895,1.34706,0.23717,0.1767,0.1109,0.04788,2.29367,2.90494,1.91777,0.000495266,0.000495266,0.000495266
73,1628.84,1.62617,1.48524,1.35063,0.19726,0.19877,0.10972,0.04878,2.26943,2.95835,1.90589,0.000478762,0.000478762,0.000478762
74,1651.33,1.60744,1.47665,1.33671,0.22545,0.17611,0.10867,0.04752,2.2879,3.01722,1.92957,0.000462259,0.000462259,0.000462259
75,1673.82,1.60525,1.44892,1.33354,0.23536,0.1886,0.11221,0.04983,2.28231,2.95939,1.92687,0.000445756,0.000445756,0.000445756
76,1696.61,1.57982,1.44527,1.31539,0.185,0.20952,0.11054,0.04878,2.29008,3.02277,1.95386,0.000429253,0.000429253,0.000429253
77,1719.1,1.61157,1.46187,1.33858,0.21855,0.17076,0.10472,0.04824,2.28056,3.07985,1.92368,0.000412749,0.000412749,0.000412749
78,1741.2,1.56534,1.43607,1.333,0.21216,0.19245,0.10821,0.04898,2.2888,2.99718,1.9339,0.000396246,0.000396246,0.000396246
79,1763.28,1.55257,1.39538,1.31865,0.19983,0.1879,0.10644,0.0456,2.28675,3.05603,1.91532,0.000379743,0.000379743,0.000379743
80,1785.22,1.59132,1.4266,1.3166,0.20162,0.19456,0.10528,0.04606,2.28637,3.04044,1.93418,0.000363239,0.000363239,0.000363239
81,1807.28,1.58581,1.39201,1.31145,0.19218,0.1937,0.11038,0.0476,2.30164,3.04621,1.92568,0.000346736,0.000346736,0.000346736
82,1829.3,1.55475,1.39022,1.30289,0.20905,0.18291,0.10642,0.04688,2.2846,3.1009,1.93708,0.000330233,0.000330233,0.000330233
83,1851.62,1.54039,1.37968,1.30541,0.18334,0.20873,0.10466,0.0461,2.27833,3.06875,1.92677,0.000313729,0.000313729,0.000313729
84,1873.44,1.5361,1.32817,1.29947,0.2273,0.19071,0.11446,0.05192,2.26635,3.06707,1.93715,0.000297226,0.000297226,0.000297226
85,1895.26,1.53885,1.35167,1.29684,0.19462,0.19794,0.107,0.04672,2.29369,3.07679,1.94104,0.000280723,0.000280723,0.000280723
86,1917.58,1.51535,1.31494,1.28665,0.22905,0.17087,0.1101,0.04912,2.30122,3.08639,1.9446,0.00026422,0.00026422,0.00026422
87,1939.34,1.50671,1.32634,1.28338,0.21435,0.18082,0.10372,0.04591,2.28968,3.1429,1.93837,0.000247716,0.000247716,0.000247716
88,1961.56,1.51857,1.33998,1.29058,0.21884,0.18435,0.1061,0.04679,2.29292,3.1011,1.93346,0.000231213,0.000231213,0.000231213
89,1983.99,1.50099,1.30522,1.28045,0.1991,0.19282,0.10562,0.04804,2.29665,3.12181,1.95718,0.00021471,0.00021471,0.00021471
90,2006.58,1.49386,1.29775,1.27305,0.21807,0.17766,0.09829,0.04424,2.29709,3.16128,1.93805,0.000198206,0.000198206,0.000198206
91,2073.93,1.57615,1.34423,1.32153,0.20701,0.17782,0.10583,0.04869,2.29506,3.12248,1.94852,0.000181703,0.000181703,0.000181703
92,2097.93,1.50723,1.23269,1.28265,0.20408,0.18619,0.10188,0.04524,2.29629,3.11134,1.92611,0.0001652,0.0001652,0.0001652
93,2120.46,1.49572,1.21627,1.27805,0.20673,0.18845,0.10352,0.04626,2.30462,3.0735,1.93048,0.000148696,0.000148696,0.000148696
94,2142.23,1.50082,1.18306,1.27873,0.20795,0.1805,0.107,0.04851,2.29372,3.13335,1.93875,0.000132193,0.000132193,0.000132193
95,2165.99,1.4828,1.17147,1.28038,0.193,0.20377,0.10264,0.04622,2.29491,3.14971,1.94125,0.00011569,0.00011569,0.00011569
96,2190.14,1.48607,1.15779,1.26064,0.18775,0.19668,0.09966,0.04482,2.31233,3.17694,1.94851,9.91865e-05,9.91865e-05,9.91865e-05
97,2213.48,1.46498,1.16834,1.27009,0.19035,0.19867,0.09997,0.04611,2.30937,3.17207,1.94631,8.26832e-05,8.26832e-05,8.26832e-05
98,2235.56,1.46733,1.12491,1.25182,0.1885,0.20432,0.10076,0.04632,2.31967,3.1587,1.9501,6.61799e-05,6.61799e-05,6.61799e-05
99,2257.88,1.44249,1.11907,1.23907,0.18349,0.1998,0.09928,0.04479,2.31878,3.18287,1.95759,4.96766e-05,4.96766e-05,4.96766e-05
100,2279.9,1.45108,1.12081,1.25007,0.18443,0.20162,0.09947,0.04522,2.32206,3.18085,1.95772,3.31733e-05,3.31733e-05,3.31733e-05
