epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7236.02,1.69278,2.03084,1.55635,0.3509,0.32041,0.25406,0.12766,1.83107,2.04338,1.65425,0.005842,0.005842,0.005842
44,7399.55,1.70662,2.0201,1.56053,0.35345,0.31492,0.254,0.12666,1.82603,2.03966,1.6518,0.005743,0.005743,0.005743
45,7559.2,1.69932,2.00547,1.55884,0.35703,0.31533,0.25353,0.12685,1.82415,2.03832,1.65571,0.005644,0.005644,0.005644
46,7727.94,1.67863,2.00133,1.55462,0.36162,0.31777,0.25545,0.12726,1.82697,2.0341,1.65715,0.005545,0.005545,0.005545
47,7889.98,1.68491,1.99505,1.54836,0.36902,0.31228,0.2546,0.1271,1.82365,2.02816,1.64866,0.005446,0.005446,0.005446
48,8052.11,1.67449,1.98967,1.54789,0.365,0.31635,0.25537,0.12779,1.81901,2.02926,1.64524,0.005347,0.005347,0.005347
49,8220.42,1.67632,1.9817,1.55089,0.36268,0.31797,0.25568,0.12846,1.81887,2.02616,1.64667,0.005248,0.005248,0.005248
50,8380.68,1.66067,1.96655,1.54019,0.3604,0.32183,0.2561,0.12844,1.81932,2.02458,1.64482,0.005149,0.005149,0.005149
51,8541.46,1.67465,1.96647,1.54534,0.35776,0.32426,0.25611,0.12823,1.82076,2.02267,1.64759,0.00505,0.00505,0.00505
52,8706.28,1.65348,1.96143,1.54173,0.35698,0.32629,0.256,0.12848,1.82235,2.02463,1.6499,0.004951,0.004951,0.004951
53,8871.48,1.66424,1.95041,1.5435,0.35683,0.32609,0.25792,0.12901,1.82044,2.02617,1.64858,0.004852,0.004852,0.004852
54,9033.84,1.65251,1.94508,1.52617,0.35945,0.32028,0.2561,0.12834,1.82115,2.02748,1.64984,0.004753,0.004753,0.004753
55,9194.99,1.66318,1.96123,1.53219,0.3598,0.32081,0.25568,0.12809,1.8195,2.02946,1.64768,0.004654,0.004654,0.004654
56,9360.48,1.65642,1.94847,1.53513,0.35403,0.32447,0.25521,0.12798,1.81982,2.02535,1.64669,0.004555,0.004555,0.004555
