epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7501.23,1.96495,2.33671,1.70428,0.29132,0.2493,0.18207,0.08143,2.06065,2.31192,1.76958,0.005842,0.005842,0.005842
44,7674.4,1.96603,2.33651,1.70609,0.2917,0.25341,0.18401,0.08221,2.05754,2.30239,1.76484,0.005743,0.005743,0.005743
45,7848.05,1.95835,2.31895,1.70642,0.29401,0.2576,0.18469,0.08293,2.056,2.29815,1.76748,0.005644,0.005644,0.005644
46,8019.08,1.95258,2.31643,1.70306,0.29692,0.25689,0.18576,0.0833,2.05463,2.29593,1.76496,0.005545,0.005545,0.005545
47,8194.09,1.95904,2.3221,1.69898,0.29613,0.25628,0.18678,0.08372,2.05279,2.29416,1.76124,0.005446,0.005446,0.005446
48,8370.11,1.94588,2.30756,1.69563,0.29789,0.25323,0.18672,0.08412,2.05339,2.29082,1.76235,0.005347,0.005347,0.005347
49,8541.47,1.94929,2.30461,1.69569,0.29751,0.25556,0.18733,0.08457,2.05203,2.29339,1.76166,0.005248,0.005248,0.005248
50,8711.43,1.94545,2.30974,1.69372,0.29897,0.25546,0.18793,0.08458,2.04956,2.29297,1.75744,0.005149,0.005149,0.005149
51,8885.62,1.94667,2.29036,1.68876,0.29652,0.25743,0.18764,0.08445,2.04935,2.29035,1.75635,0.00505,0.00505,0.00505
52,9058.5,1.93321,2.29233,1.68954,0.29728,0.25945,0.18638,0.08397,2.04939,2.28962,1.75709,0.004951,0.004951,0.004951
53,9232.03,1.93723,2.28374,1.68595,0.29575,0.25822,0.18715,0.08456,2.0474,2.28543,1.75491,0.004852,0.004852,0.004852
54,9402.64,1.93377,2.27738,1.67437,0.29487,0.25873,0.18705,0.08423,2.04677,2.28525,1.75288,0.004753,0.004753,0.004753
55,9573.75,1.93007,2.28237,1.68241,0.29406,0.25919,0.18779,0.08459,2.04657,2.28394,1.75119,0.004654,0.004654,0.004654
56,9742.6,1.93168,2.26696,1.67817,0.29676,0.25825,0.1886,0.085,2.04682,2.28302,1.74951,0.004555,0.004555,0.004555
57,9911.04,1.93069,2.26436,1.67439,0.29634,0.25971,0.18875,0.08539,2.04593,2.28327,1.74695,0.004456,0.004456,0.004456
58,10076.1,1.93611,2.26286,1.67939,0.29618,0.26132,0.18941,0.08582,2.04539,2.2822,1.74575,0.004357,0.004357,0.004357
59,10241.6,1.92021,2.26076,1.66996,0.29703,0.26089,0.18949,0.0858,2.04402,2.28172,1.74404,0.004258,0.004258,0.004258
60,10408.3,1.92475,2.25225,1.67067,0.29426,0.26248,0.18961,0.08595,2.04394,2.28023,1.74275,0.004159,0.004159,0.004159
61,10578.7,1.91868,2.25299,1.6672,0.29614,0.26227,0.19001,0.08611,2.04405,2.27892,1.74176,0.00406,0.00406,0.00406
62,10746.9,1.91908,2.23742,1.66263,0.29631,0.26096,0.19019,0.08619,2.04443,2.27782,1.74127,0.003961,0.003961,0.003961
63,10911.8,1.91433,2.2353,1.65777,0.29645,0.26143,0.19056,0.08635,2.04348,2.27729,1.74056,0.003862,0.003862,0.003862
64,11082.4,1.91538,2.23397,1.65514,0.29664,0.26193,0.19065,0.08637,2.04286,2.27695,1.74005,0.003763,0.003763,0.003763
65,11249.5,1.91058,2.22865,1.65622,0.29856,0.26444,0.19108,0.08633,2.04331,2.27561,1.73954,0.003664,0.003664,0.003664
66,11431.3,1.90313,2.21509,1.65273,0.29683,0.26517,0.19085,0.08658,2.04303,2.27507,1.73883,0.003565,0.003565,0.003565
67,11598.4,1.90823,2.22731,1.65504,0.29661,0.26578,0.1911,0.08666,2.04315,2.2742,1.73794,0.003466,0.003466,0.003466
68,11765.2,1.90028,2.20989,1.64142,0.2984,0.26402,0.19126,0.08675,2.04248,2.27347,1.7367,0.003367,0.003367,0.003367
69,11933.2,1.9069,2.2197,1.65161,0.2975,0.2658,0.19156,0.08685,2.04249,2.27262,1.73634,0.003268,0.003268,0.003268
70,12100.1,1.89602,2.19357,1.64148,0.29853,0.26337,0.19163,0.08703,2.04227,2.2718,1.73583,0.003169,0.003169,0.003169
71,12269.5,1.9019,2.19786,1.63967,0.29789,0.2639,0.19149,0.08699,2.04159,2.27152,1.73503,0.00307,0.00307,0.00307
72,12452.2,1.8961,2.18227,1.63555,0.2994,0.26384,0.19209,0.0872,2.04091,2.27116,1.73438,0.002971,0.002971,0.002971
73,12621,1.89833,2.18471,1.63894,0.29873,0.26385,0.19194,0.08715,2.04084,2.27078,1.73406,0.002872,0.002872,0.002872
74,12790.2,1.88466,2.18355,1.63211,0.29826,0.26327,0.1921,0.0873,2.04112,2.26978,1.73362,0.002773,0.002773,0.002773
75,12958.8,1.877,2.17361,1.62454,0.29769,0.26358,0.19197,0.08732,2.04129,2.26931,1.73326,0.002674,0.002674,0.002674
76,13127.7,1.88032,2.16732,1.63201,0.29874,0.26447,0.1921,0.08739,2.04126,2.26876,1.73292,0.002575,0.002575,0.002575
77,13301.8,1.88719,2.16969,1.62578,0.29914,0.26461,0.19227,0.08739,2.04092,2.26856,1.73189,0.002476,0.002476,0.002476
78,13476.6,1.88139,2.15993,1.62792,0.30087,0.26258,0.19232,0.0875,2.04097,2.2678,1.73159,0.002377,0.002377,0.002377
79,13653,1.87921,2.15948,1.61859,0.30132,0.26258,0.19236,0.0875,2.04078,2.26768,1.73125,0.002278,0.002278,0.002278
80,13825.3,1.88089,2.1608,1.62371,0.30166,0.2631,0.19238,0.08754,2.0408,2.2679,1.73069,0.002179,0.002179,0.002179
81,13996.9,1.88063,2.15633,1.62681,0.30177,0.2631,0.19234,0.08767,2.04069,2.26766,1.73042,0.00208,0.00208,0.00208
82,14170.8,1.87386,2.13842,1.62231,0.30141,0.26315,0.1923,0.08761,2.04047,2.26741,1.73005,0.001981,0.001981,0.001981
83,14341.9,1.86983,2.14281,1.61955,0.30056,0.26304,0.19223,0.08768,2.04067,2.26762,1.7296,0.001882,0.001882,0.001882
84,14507.2,1.86364,2.1367,1.61359,0.30135,0.2636,0.19241,0.08762,2.04074,2.26724,1.72933,0.001783,0.001783,0.001783
85,14688,1.86898,2.1281,1.60966,0.30163,0.26344,0.19233,0.08772,2.04075,2.26725,1.72889,0.001684,0.001684,0.001684
86,14857.5,1.86659,2.12347,1.60873,0.30219,0.26406,0.19244,0.08778,2.0411,2.26672,1.72868,0.001585,0.001585,0.001585
87,15022.8,1.85684,2.12222,1.6153,0.30114,0.26338,0.19234,0.0877,2.04082,2.26678,1.72844,0.001486,0.001486,0.001486
88,15190.1,1.8582,2.11242,1.60945,0.30068,0.26277,0.1925,0.08775,2.04077,2.26633,1.72851,0.001387,0.001387,0.001387
89,15356.3,1.8615,2.10261,1.60208,0.30093,0.26262,0.19245,0.08784,2.04113,2.26583,1.72853,0.001288,0.001288,0.001288
90,15521.5,1.85637,2.10959,1.60854,0.3005,0.26225,0.19238,0.08794,2.04103,2.26586,1.72832,0.001189,0.001189,0.001189
91,15734.4,1.89591,2.09722,1.64838,0.30132,0.26205,0.19264,0.08793,2.0412,2.26586,1.72809,0.00109,0.00109,0.00109
92,15910.7,1.88662,2.07761,1.64196,0.30183,0.26143,0.1925,0.08799,2.04089,2.26584,1.72803,0.000991,0.000991,0.000991
93,16077.2,1.87667,2.06603,1.63896,0.30192,0.26081,0.19233,0.08801,2.04105,2.26565,1.72808,0.000892,0.000892,0.000892
94,16243.1,1.8736,2.05797,1.63287,0.30191,0.2607,0.19224,0.08794,2.04119,2.26566,1.72793,0.000793,0.000793,0.000793
95,16406.4,1.87939,2.04628,1.63418,0.30185,0.26049,0.19222,0.08813,2.04118,2.26576,1.72783,0.000694,0.000694,0.000694
96,16570.3,1.87284,2.03253,1.62766,0.30203,0.26064,0.19259,0.0881,2.04145,2.2659,1.72772,0.000595,0.000595,0.000595
97,16740.3,1.8682,2.02702,1.62734,0.30237,0.26127,0.19254,0.08817,2.04134,2.26592,1.72754,0.000496,0.000496,0.000496
98,16908.8,1.86761,2.02405,1.62623,0.30396,0.26,0.19243,0.08819,2.04112,2.26607,1.72737,0.000397,0.000397,0.000397
99,17079.9,1.86632,2.01534,1.6285,0.30399,0.26057,0.19255,0.08821,2.0411,2.26662,1.72711,0.000298,0.000298,0.000298
100,17249.6,1.86508,2.01704,1.62473,0.3036,0.26082,0.19267,0.08826,2.04126,2.26714,1.7272,0.000199,0.000199,0.000199
